FK,KD_JENIS_TRANSAKSI,FG_PENGGANTI,NOMOR_FAKTUR,MASA_PAJAK,TAHUN_PAJAK,TANGGAL_FAKTUR,NPWP, NAMA ,ALAMAT_LENGKAP,JUMLAH_DPP,JUMLAH_PPN,JUMLAH_PPNBM,ID_KETERANGAN_TAMBAHAN,FG_UANG_MUKA,UANG_MUKA_DPP,UANG_MUKA_PPN,UANG_MUKA_PPNBM,REFERENSI,KODE_DOKUMEN_PENDUKUNG
LT,NPWP,NAMA,JALAN,BLOK,NOMOR,RT,RW, KECAMATAN ,KELURAHAN,KABUPATEN,PROPINSI,KODE_POS,NOMOR_TELEPON
OF,KODE_OBJEK,NAMA,HARGA_SATUAN,JUMLAH_BARANG,HARGA_TOTAL,DISKON,DPP, PPN ,TARIF_PPNBM,PPNBM
FK,01,0,0072244549436,10,2022,22/10/2022,010005718092000,"PT. Astra Daihatsu Motor","Jl. Gaya Motor III No. 5, Sunter II, Sungai Bambu - Tanjung Priok Jakarta Utara DKI Jakarta 14330",358110120,39392113,0,,0,,,,INV22-000004406,
OF,,OZA3001-DH002/0289465-BZ490,116969,120,14036280,0,14036280,1543990.8,0,0
OF,,OZA3003-DH001/0389465-BZ590,112751,180,20295180,0,20295180,2232469.8,0,0
OF,,OZA3001-DH002/0289465-BZ490,116969,120,14036280,0,14036280,1543990.8,0,0
OF,,OZA3003-DH001/0389465-BZ590,112751,150,16912650,0,16912650,1860391.5,0,0
OF,,OZA3001-DH002/0289465-BZ490,116969,180,21054420,0,21054420,2315986.2,0,0
OF,,OZA3003-DH001/0389465-BZ590,112751,150,16912650,0,16912650,1860391.5,0,0
OF,,OZA3001-DH002/0289465-BZ490,116969,120,14036280,0,14036280,1543990.8,0,0
OF,,OZA3003-DH001/0389465-BZ590,112751,180,20295180,0,20295180,2232469.8,0,0
OF,,OZA3001-DH002/0289465-BZ490,116969,60,7018140,0,7018140,771995.4,0,0
OF,,OZA3003-DH001/0389465-BZ590,112751,90,10147590,0,10147590,1116234.9,0,0
OF,,OZA3001-DH002/0289465-BZ490,116969,60,7018140,0,7018140,771995.4,0,0
OF,,OZA3003-DH001/0389465-BZ590,112751,60,6765060,0,6765060,744156.6,0,0
OF,,OZA3001-DH002/0289465-BZ490,116969,120,14036280,0,14036280,1543990.8,0,0
OF,,OZA3003-DH001/0389465-BZ590,112751,150,16912650,0,16912650,1860391.5,0,0
OF,,OZA3001-DH002/0289465-BZ490,116969,180,21054420,0,21054420,2315986.2,0,0
OF,,OZA3003-DH001/0389465-BZ590,112751,150,16912650,0,16912650,1860391.5,0,0
OF,,OZA3001-DH002/0289465-BZ490,116969,120,14036280,0,14036280,1543990.8,0,0
OF,,OZA3003-DH001/0389465-BZ590,112751,120,13530120,0,13530120,1488313.2,0,0
OF,,OZA3001-DH002/0289465-BZ490,116969,180,21054420,0,21054420,2315986.2,0,0
OF,,OZA3003-DH001/0389465-BZ590,112751,150,16912650,0,16912650,1860391.5,0,0
OF,,OZA3001-DH002/0289465-BZ490,116969,120,14036280,0,14036280,1543990.8,0,0
OF,,OZA3003-DH001/0389465-BZ590,112751,120,13530120,0,13530120,1488313.2,0,0
OF,,OZA3004-DH002/0189465-BZ490,116969,120,14036280,0,14036280,1543990.8,0,0
OF,,OZA3003-DH001/0389465-BZ590,112751,90,10147590,0,10147590,1116234.9,0,0
OF,,OZA3003-DH001/0389465-BZ590,112751,30,3382530,0,3382530,372078.3,0,0
FK,01,1,0072244549437,10,2022,21/10/2022,010005718092000,"PT. Astra Daihatsu Motor","Jl. Gaya Motor III No. 5, Sunter II, Sungai Bambu - Tanjung Priok Jakarta Utara DKI Jakarta 14330",420692616,46276187,0,,0,,,,INV22-000004407,Test
OF,,OZA3001-DH001/0289465-BZ540,107661,270,29068470,0,29068470,3197531.7,0,0
OF,,LKR6C/119004A-91062-00,9856,891,8781696,0,8781696,965986.56,0,0
OF,,KNE55/0189615-BZ070,19531,1080,21093480,0,21093480,2320282.8,0,0
OF,,OZA3005-DH001/0189465-BZ650,106659,270,28797930,0,28797930,3167772.3,0,0
OF,,DCPR7EA-9/169004A-91039-00,8550,1800,15390000,0,15390000,1692900,0,0
OF,,OZA3005-DH001/0189465-BZ650,106659,270,28797930,0,28797930,3167772.3,0,0
OF,,OZA3001-DH001/0289465-BZ540,107661,270,29068470,0,29068470,3197531.7,0,0
OF,,LKR6C/119004A-91062-00,9856,891,8781696,0,8781696,965986.56,0,0
OF,,LKR6C/119004A-91062-00,9856,891,8781696,0,8781696,965986.56,0,0
OF,,KNE55/0189615-BZ070,19531,1080,21093480,0,21093480,2320282.8,0,0
OF,,OZA3001-DH001/0289465-BZ540,107661,270,29068470,0,29068470,3197531.7,0,0
OF,,OZA3005-DH001/0189465-BZ650,106659,270,28797930,0,28797930,3167772.3,0,0
OF,,LKR6C/119004A-91062-00,9856,891,8781696,0,8781696,965986.56,0,0
OF,,KNE55/0189615-BZ070,19531,1080,21093480,0,21093480,2320282.8,0,0
OF,,OZA3005-DH001/0189465-BZ650,106659,270,28797930,0,28797930,3167772.3,0,0
OF,,OZA3001-DH001/0289465-BZ540,107661,270,29068470,0,29068470,3197531.7,0,0
OF,,LKR6C/119004A-91062-00,9856,891,8781696,0,8781696,965986.56,0,0
OF,,OZA3001-DH001/0289465-BZ540,107661,270,29068470,0,29068470,3197531.7,0,0
OF,,LKR6C/119004A-91062-00,9856,891,8781696,0,8781696,965986.56,0,0
OF,,OZA3005-DH001/0189465-BZ650,106659,270,28797930,0,28797930,3167772.3,0,0
