FK,KD_JENIS_TRANSAKSI,FG_PENGGANTI,NOMOR_FAKTUR,MASA_PAJAK,TAHUN_PAJAK,TANGGAL_FAKTUR,NPWP, NAMA ,ALAMAT_LENGKAP,JUMLAH_DPP,JUMLAH_PPN,JUMLAH_PPNBM,ID_KETERANGAN_TAMBAHAN,FG_UANG_MUKA,UANG_MUKA_DPP,UANG_MUKA_PPN,UANG_MUKA_PPNBM,REFERENSI,KODE_DOKUMEN_PENDUKUNG
LT,NPWP,NAMA,JALAN,BLOK,NOMOR,RT,RW, KECAMATAN ,KELURAHAN,KABUPATEN,PROPINSI,KODE_POS,NOMOR_TELEPON
OF,KODE_OBJEK,NAMA,HARGA_SATUAN,JUMLAH_BARANG,HARGA_TOTAL,DISKON,DPP, PPN ,TARIF_PPNBM,PPNBM
FK,01,0,0072244549486,10,2022,27/10/2022,010007466092000,"PT. Astra Honda Motor","JI. Yos Sudarso, Sunter I, Tanjung Priok, Jakarta Utara, DKI Jakarta 14350",1291568920,142072581,0,,0,,,,INV22-000004456,
OF,,VD05FEK/0130700-K81 -N110-M1,12100,500,6050000,0,6050000,665500,0,0
OF,,AZD5001-HG002/0236531-K1Z -J110-M1,103651,300,31095300,0,31095300,3420483,0,0
OF,,ZSD1002-HG005/0236532-K81 -N010-M1,56076,500,28038000,0,28038000,3084180,0,0
OF,,LMAR8L-9/0531917-K0R -V010-M1,18296,700,12807200,0,12807200,1408792,0,0
OF,,MR9C-9N/0531919-K25 -6010-M1,10445,500,5222500,0,5222500,574475,0,0
OF,,AZD5001-HG002/0236531-K1Z -J110-M1,103651,1000,103651000,0,103651000,11401610,0,0
OF,,MR9C-9N/0531919-K25 -6010-M1,10445,600,6267000,0,6267000,689370,0,0
OF,,LMAR8L-9/0531917-K0R -V010-M1,18296,1000,18296000,0,18296000,2012560,0,0
OF,,ZSD1005-HG001/0136532-K1A -N012-M1,44428,1300,57756400,0,57756400,6353204,0,0
OF,,ZSD1001-HG007/0336532-K41 -N011-M1,60824,100,6082400,0,6082400,669064,0,0
OF,,MR9C-9N/0531919-K25 -6010-M1,10445,1100,11489500,0,11489500,1263845,0,0
OF,,CPR6EA-9/4231916-KPH -9014-M1,9199,100,919900,0,919900,101189,0,0
OF,,ND05FB/0330700-K03 -N510-M1,9700,900,8730000,0,8730000,960300,0,0
OF,,CPR6EA-9/4231916-KPH -9014-M1,9199,200,1839800,0,1839800,202378,0,0
OF,,ZSD1005-HG007/0236532-KPG - H210-M1,58542,400,23416800,0,23416800,2575848,0,0
OF,,CPR9EA-9/1531926-KRM -8413-M1,9199,1200,11038800,0,11038800,1214268,0,0
OF,,LD05FTIK/0530700-KWN -7112-M1,9250,1200,11100000,0,11100000,1221000,0,0
OF,,MR9C-9N/0531919-K25 -6010-M1,10445,200,2089000,0,2089000,229790,0,0
OF,,LMAR8L-9/0531917-K0R -V010-M1,18296,200,3659200,0,3659200,402512,0,0
OF,,ZSD1005-HG001/0136532-K1A -N012-M1,44428,200,8885600,0,8885600,977416,0,0
OF,,ZSD1005-HG011/0236532-K3A -V010-M1,60886,1200,73063200,0,73063200,8036952,0,0
OF,,AZD5001-HG002/0236531-K1Z -J110-M1,103651,300,31095300,0,31095300,3420483,0,0
OF,,LD05FTGK/0430700-KYZ -9010-M1,8900,100,890000,0,890000,97900,0,0
OF,,ZSD1005-HG001/0136532-K1A -N012-M1,44428,3300,146612400,0,146612400,16127364,0,0
OF,,LMAR8L-9/0531917-K0R -V010-M1,18296,1800,32932800,0,32932800,3622608,0,0
OF,,MR9C-9N/0531919-K25 -6010-M1,10445,1800,18801000,0,18801000,2068110,0,0
OF,,MR9C-9N/0531919-K25 -6010-M1,10445,1300,13578500,0,13578500,1493635,0,0
OF,,ZSD1005-HG001/0136532-K1A -N012-M1,44428,2700,119955600,0,119955600,13195116,0,0
OF,,ZSD1005-HG011/0236532-K3A -V010-M1,60886,2200,133949200,0,133949200,14734412,0,0
OF,,MR9C-9N/0531919-K25 -6010-M1,10445,1100,11489500,0,11489500,1263845,0,0
OF,,ZSD1005-HG001/0136532-K1A -N012-M1,44428,2200,97741600,0,97741600,10751576,0,0
OF,,LD05FTIK/0530700-KWN -7112-M1,9250,1500,13875000,0,13875000,1526250,0,0
OF,,CPR9EA-9/1531926-KRM -8413-M1,9199,1100,10118900,0,10118900,1113079,0,0
OF,,XD05FMGE/1130700-KY2 -7020-M1,33000,300,9900000,0,9900000,1089000,0,0
OF,,VD05FMHBK/0230700-K13 -9011-M1,25034,900,22530600,0,22530600,2478366,0,0
OF,,ZSD1005-HG001/0136532-K1A -N012-M1,44428,2200,97741600,0,97741600,10751576,0,0
OF,,MR9C-9N/0531919-K25 -6010-M1,10445,1600,16712000,0,16712000,1838320,0,0
OF,,ZSD1002-HG007/0136532-K84 -9011-M1,59165,700,41415500,0,41415500,4555705,0,0
OF,,ZSD1002-HG015/0136532-K18 -9610-M1,53824,200,10764800,0,10764800,1184128,0,0
OF,,CPR9EA-9/1531926-KRM -8413-M1,9199,900,8279100,0,8279100,910701,0,0
OF,,VD05FMHBK/0230700-K13 -9011-M1,25034,100,2503400,0,2503400,275374,0,0
OF,,CPR9EA-9/1531926-KRM -8413-M1,9199,100,919900,0,919900,101189,0,0
OF,,ZSD1002-HG007/0136532-K84 -9011-M1,59165,100,5916500,0,5916500,650815,0,0
OF,,SILMAR9C9/0431917-K64 -NA10-M1,36857,44,1621708,0,1621708,178387.88,0,0
OF,,SILMAR9C9/0431917-K64 -NA10-M1,36857,16,589712,0,589712,64868.32,0,0
OF,,SILMAR8C9/0431917-K40 -F010-M1,33789,6,202734,0,202734,22300.74,0,0
OF,,SILMAR9C9/0431917-K64 -NA10-M1,33789,100,3378900,0,3378900,371679,0,0
OF,,SILMAR8C9/0431917-K40 -F010-M1,33789,194,6555066,0,6555066,721057.26,0,0
