No,Part Tag ID,Delivery Date,Org Name,DN No,Supplier Code,Vendor Name,Supplier Part No,Unloading Area,Location,Remarks,Part No,Part Name,Qty,Production Lot No,Delivery Time,Qty Unit
1,'0027992940,28-Aug-23,CAKUNG,14007882-56,0C970,"NITERRA MOBILITY INDONESIA, PT",,TE81,XE356NE ,PARTS DOM & EXP,09482-00621,"PLUG,SPARK(CPR7EA-9)",60,3093A1-JB001-005,11:00,1
2,'0027992941,28-Aug-23,CAKUNG,14007882-56,0C970,"NITERRA MOBILITY INDONESIA, PT",,TE81,XE356NE ,PARTS DOM & EXP,09482-00621,"PLUG,SPARK(CPR7EA-9)",60,3093A1-JB002-006,11:00,1
3,'0027992942,28-Aug-23,CAKUNG,14007882-56,0C970,"NITERRA MOBILITY INDONESIA, PT",,TE81,XE618MFX-K2,PARTS DOM & EXP,09482-00646,"PLUG,SPARK(MR8E-9)",60,3093A1-JV001-001,11:00,1
4,'0027992943,28-Aug-23,CAKUNG,14007882-56,0C970,"NITERRA MOBILITY INDONESIA, PT",,TE81,XE618MFX-K2,PARTS DOM & EXP,09482-00646,"PLUG,SPARK(MR8E-9)",60,3093A1-JV002-002,11:00,1
5,'0027992944,28-Aug-23,CAKUNG,14007882-56,0C970,"NITERRA MOBILITY INDONESIA, PT",,TE81,XE618MFX-K2,PARTS DOM & EXP,09482-00646,"PLUG,SPARK(MR8E-9)",60,3093A1-JV003-003,11:00,1
6,'0027992945,28-Aug-23,CAKUNG,14007882-56,0C970,"NITERRA MOBILITY INDONESIA, PT",,TE81,XE618MFX-K2,PARTS DOM & EXP,09482-00646,"PLUG,SPARK(MR8E-9)",60,3093A1-JV004-004,11:00,1
7,'0027992946,29-Aug-23,CAKUNG,14007882-57,0C970,"NITERRA MOBILITY INDONESIA, PT",,TE81,XE393NER,PARTS DOM & EXP,09482-00621,"PLUG,SPARK(CPR7EA-9)",30,3093A1-IP001-011,11:00,1
8,'0027992947,29-Aug-23,CAKUNG,14007882-57,0C970,"NITERRA MOBILITY INDONESIA, PT",,TE81,XE618MFX-K2,PARTS DOM & EXP,09482-00646,"PLUG,SPARK(MR8E-9)",60,3093A1-JV005-007,11:00,1
9,'0027992948,29-Aug-23,CAKUNG,14007882-57,0C970,"NITERRA MOBILITY INDONESIA, PT",,TE81,XE618MFX-K2,PARTS DOM & EXP,09482-00646,"PLUG,SPARK(MR8E-9)",60,3093A1-JV006-008,11:00,1
10,'0027992949,30-Aug-23,CAKUNG,14007882-58,0C970,"NITERRA MOBILITY INDONESIA, PT",,TE81,,PARTS DOM & EXP,09482-00621,"PLUG,SPARK(CPR7EA-9)",60,,11:00,1
